data_source_ordering,city_gis_neighborhood_id,city_gis_corrected_name,neighborhood_name,neighborhood_birth_count,neighborhood_birth_percent,mother_white_nonhisp_amt,mother_black_nonhisp_amt,mother_amerind_amt,mother_asian_pacific_islander_amt,mother_hispanic_amt,mother_white_nonhisp_perc,mother_black_nonhisp_perc,mother_amerind_perc,mother_asian_pacific_islander_perc,mother_hispanic_perc,mother_married_amt,mother_married_perc,mother_unmarried_amt,mother_unmarried_perc,mother_age_under18_amt,mother_age_under18_perc,mother_age_18to19_amt,mother_age_18to19_perc,mother_age_20to34_amt,mother_age_20to34_perc,mother_age_35plus_amt,mother_age_35plus_perc,mother_education_less_than_high_school_amt,mother_education_less_than_high_school_perc,mother_education_high_school_grad_amt,mother_education_high_school_grad_perc,mother_education_more_than_high_school_amt,mother_education_more_than_high_school_perc,pregnancy_gestation_under_37_wks_amt,pregnancy_gestation_over_37_wks_amt,pregnancy_gestation_under_37_wks_perc,pregnancy_gestation_over_37_wks_perc,pregnancy_birth_weight_over_2500_grams_amt,pregnancy_birth_weight_under_2500_grams_amt,pregnancy_birth_weight_over_2500_grams_perc,pregnancy_birth_weight_under_2500_grams_perc,pregnancy_first_trimester_care_began_amt,pregnancy_second_trimester_care_began_amt,pregnancy_third_trimester_care_began_amt,pregnancy_no_care_amt,pregnancy_first_trimester_care_began_perc,pregnancy_second_trimester_care_began_perc,pregnancy_third_trimester_care_began_perc,pregnancy_no_care_perc,pregnancy_care_adequacy_adequate_amt,pregnancy_care_adequacy_intermediate_amt,pregnancy_care_adequacy_inadequate_amt,pregnancy_care_adequacy_no_care_amt,pregnancy_care_adequacy_adequate_perc,pregnancy_care_adequacy_intermediate_perc,pregnancy_care_adequacy_inadequate_perc,pregnancy_care_adequacy_no_care_perc
42,17,Page,PAGE,74,0.4,68,0,0,<=5,<=5,91.9,0,0,*,*,70,94.6,<=5,*,0,0,<=5,*,47,63.5,26,35.1,0,*,<=5,*,72,97.3,8,66,10.8,89.2,71,<=5,95.9,*,71,<=5,0,0,98.6,*,0,0,60,<=5,0,0,95.2,*,0,0
43,50,Regina,REGINA,133,0.7,63,26,<=5,<=5,37,47.4,19.5,*,*,27.8,68,51.5,64,48.5,<=5,*,12,9,96,72.2,20,15,34,26.6,29,22.7,65,50.8,11,122,8.3,91.7,123,10,92.5,7.5,101,20,6,0,79.5,15.7,4.7,0,80,24,9,0,70.8,21.2,8,0
44,47,Wenonah,WENONAH,351,1.9,169,77,7,7,85,48.1,21.9,2,2,24.2,186,53,165,47,<=5,*,18,5.1,282,80.3,46,13.1,88,26.1,81,24,168,49.9,50,300,14.3,85.7,321,30,91.5,8.5,261,72,8,<=5,76.3,21.1,2.3,*,211,77,12,<=5,70.1,25.6,4,*
45,49,Audubon Park,AUDUBON PARK,292,1.6,215,27,7,10,28,73.6,9.2,2.4,3.4,9.6,204,70.1,87,29.9,10,3.4,13,4.5,202,69.2,67,22.9,37,12.9,35,12.2,215,74.9,26,266,8.9,91.1,281,11,96.2,3.8,239,34,7,<=5,85.1,12.1,2.5,*,193,38,9,<=5,80.1,15.8,3.7,*
46,72,Beltrami,BELTRAMI,61,0.3,17,16,<=5,<=5,22,27.9,26.2,*,*,36.1,14,23,47,77,0,0,<=5,*,52,85.2,<=5,*,17,29.3,27,46.6,14,24.1,<=5,57,*,93.4,59,<=5,96.7,*,41,12,<=5,0,74.5,21.8,*,0,31,11,<=5,0,70.5,25,*,0
47,9,Bottineau,BOTTINEAU,126,0.7,29,72,<=5,<=5,19,23,57.1,*,*,15.1,69,54.8,57,45.2,<=5,*,<=5,*,92,73,26,20.6,33,27.3,52,43,36,29.8,<=5,123,*,97.6,121,<=5,96,*,97,23,<=5,0,78.2,18.5,*,0,76,24,<=5,0,73.1,23.1,*,0
48,83,Columbia Park,COLUMBIA PARK,79,0.4,54,13,0,<=5,8,68.4,16.5,0,*,10.1,50,63.3,29,36.7,<=5,*,<=5,*,57,72.2,15,19,10,12.8,21,26.9,47,60.3,<=5,74,*,93.7,73,6,92.4,7.6,64,8,<=5,0,84.2,10.5,*,0,46,13,<=5,0,73,20.6,*,0
49,48,Holland,HOLLAND,297,1.6,87,89,19,<=5,93,29.3,30,6.4,*,31.3,136,45.8,161,54.2,7,2.4,16,5.4,234,78.8,40,13.5,90,31.3,104,36.1,94,32.6,24,273,8.1,91.9,277,20,93.3,6.7,209,54,17,<=5,74.1,19.1,6,*,152,74,21,<=5,61,29.7,8.4,*
50,53,Logan Park,LOGAN PARK,98,0.5,52,14,<=5,<=5,27,53.1,14.3,*,*,27.6,46,46.9,52,53.1,<=5,*,<=5,*,68,69.4,22,22.4,32,33,21,21.6,44,45.4,27,242,10,90,92,6,93.9,6.1,69,16,6,0,75.8,17.6,6.6,0,54,21,<=5,0,67.5,26.3,*,0
51,85,Marshall Terrace,MARSHALL TERRACE,56,0.3,17,14,<=5,9,12,30.4,25,*,16.1,21.4,20,35.7,36,64.3,<=5,*,7,12.5,36,64.3,9,16.1,18,34,21,39.6,14,26.4,<=5,55,*,98.2,54,<=5,96.4,*,36,14,<=5,0,67.9,26.4,*,0,27,14,<=5,0,58.7,30.4,*,0
52,63,Northeast Park,NORTHEAST PARK,55,0.3,27,10,<=5,<=5,13,49.1,18.2,*,*,23.6,29,52.7,26,47.3,0,0,<=5,*,44,80,7,12.7,16,29.6,13,24.1,25,46.3,<=5,52,*,94.5,52,<=5,94.5,*,38,12,<=5,<=5,71.7,22.6,*,*,24,12,<=5,<=5,57.1,28.6,*,*
53,65,St. Anthony East,ST. ANTHONY EAST,73,0.4,34,10,<=5,<=5,19,46.6,13.7,*,*,26,39,53.4,34,46.6,<=5,*,<=5,*,60,82.2,6,8.2,17,23.9,25,35.2,29,40.8,6,67,8.2,91.8,65,8,89,11,49,16,<=5,<=5,70,22.9,*,*,41,15,<=5,<=5,67.2,24.6,*,*
54,64,St. Anthony West,ST. ANTHONY WEST,80,0.4,54,11,<=5,<=5,9,67.5,13.8,*,*,11.3,52,65,28,35,<=5,*,<=5,*,63,78.8,13,16.3,11,13.8,16,20,53,66.3,8,72,10,90,74,6,92.5,7.5,67,9,<=5,<=5,87,11.7,*,*,54,10,<=5,<=5,80.6,14.9,*,*
55,52,Sheridan,SHERIDAN,158,0.8,63,56,7,<=5,25,39.9,35.4,4.4,*,15.8,73,46.2,85,53.8,<=5,*,8,5.1,123,77.8,22,13.9,31,20.5,63,41.7,57,37.7,16,141,10.2,89.8,150,8,94.9,5.1,126,19,6,0,83.4,12.6,4,0,96,19,8,0,78,15.4,6.5,0
56,84,Waite Park,WAITE PARK,296,1.6,218,21,<=5,13,38,73.6,7.1,*,4.4,12.8,224,75.7,72,24.3,<=5,*,7,2.4,229,77.4,56,18.9,39,13.3,50,17,205,69.7,30,266,10.1,89.9,281,15,94.9,5.1,269,24,<=5,<=5,89.6,8.3,*,*,211,38,6,<=5,82.4,14.8,2.3,*
57,54,Windom Park,WINDOM PARK,260,1.4,159,35,<=5,6,51,61.2,13.5,*,2.3,19.6,166,63.8,94,36.2,9,3.5,10,3.8,180,69.2,61,23.5,50,19.8,52,20.6,151,59.7,23,236,8.9,91.1,241,19,92.7,7.3,215,32,<=5,0,86.3,12.9,*,0,170,43,6,0,77.6,19.6,2.7,0
58,45,East Phillips,EAST PHILLIPS,384,2,40,86,90,6,157,10.4,22.4,23.4,1.6,40.9,85,24.7,289,75.3,18,4.7,45,11.7,284,74,37,9.6,175,47.4,128,34.7,66,17.9,40,343,10.4,89.6,360,24,93.8,6.3,248,93,26,<=5,67.2,25.2,7,*,184,107,32,<=5,56.6,32,9.8,*
59,1,Phillips West,WEST PHILLIPS,334,1.8,32,186,12,8,93,9.6,55.7,3.6,2.4,27.8,125,37.4,209,62.6,7,2.1,22,6.6,261,78.1,44,13.2,136,43.5,120,38.3,57,18.2,41,293,12.3,87.7,299,35,89.5,10.5,221,81,19,<=5,66.4,25.1,5.9,*,169,79,28,<=5,60.8,28.4,10.1,*
60,60,Midtown Phillips,MIDTOWN PHILLIPS,361,1.9,40,99,28,7,182,11.1,27.4,7.8,1.9,50.4,129,35.7,232,64.3,23,6.4,30,8.3,271,75.1,37,10.2,159,45.6,123,35.2,67,19.2,38,322,10.6,89.4,334,27,92.5,7.5,233,95,15,<=5,67.5,27.5,4.3,*,185,97,19,<=5,61.1,32,6.3,*
